Type,Code,Code Section,Taxicab Rule Number,Violation Description,Penalty Schedule,City Penalty,Current State Fee,Fine/Penalty,Unit,Additional Cost,Late Penalty Charge,Comments,Notes
Administrative Citation Taxicab Fine,,,510,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,511,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,512,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,513,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,514,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,601,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,602,,Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,603,,Schedule A - Public Safety or B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,604,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,605,,Schedule A - Conduct or Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,606,,Schedule A - Public Safety or Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,607a,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,607b,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,607c,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,607d,,Schedule A - Conduct or Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,607e,,Schedule A - Conduct or Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,607f,,Schedule A - Conduct or Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,607g,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,608,,Schedule A - Public Safety or Schedule B   -   Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,609,,Schedule A - Public Safety or Schedule B  -  Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,610,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,611,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,612,,Schedule A - Public Safety or Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,613,,Schedule A - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,614,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,615,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,616,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,617,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,618,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,619,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,620,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,621,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,622,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,623,,Schedule A or Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,624,,Schedule A - Conduct or Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,625,,Schedule A  -  Conduct or Schedule B - Conduct,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,626,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,627,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,628,,Schedule B,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,629,,Schedule A - Public Safety or Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,630,,Schedule C or Schedule D,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,631,,Schedule A - Public Safety or Schedule B - Public Safety,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,632,,Schedule B - Public Safety ,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,701,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,702,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Administrative Citation Taxicab Fine,,,703,,none,,,,,,,,NotesTaxis (http://www.smgov.net/Departments/Finance/Content.aspx?id=48603)
Civil Penalty for Parking Violation and Late Payment,,3.04.030(a),,Beach Parking Lot Permits (Sunset to Sunrise),,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.04.050(a),,Payment of Posted Fee Required - Attendant,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.04.050(b),,Payment of Posted Fee Required - Pay Machine,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.04.100,,Parking Spaces,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.06.040,,Car Share Permit Required,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.08.110,,Preferential Parking,,$51.50,$12.50,$64.00,,,$64.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.270,,Disobey Posted Signs,,$61.00,$12.50,$73.50,,,$64.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.380,,Parking on Drive Apron/Parkway/Sidewalk,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.730,,Green Zone - 15 Minutes,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.740,,Yellow Load Zone 7am - 6pm Mon-Sat,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.760,,White Zone - Max of 3 Minutes,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.780,,Parking on Sand,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.790(a),,Angle Parking,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.790(b),,Head in Parking,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.820,,Block Passage of Vehicle In Alley,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.830,,Parking Prohibited in Specified Places,,$51.50,$12.50,$64.00,,,$64.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.840,,Overtime Parking,,$51.50,$12.50,$64.00,,,$64.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.845,,Street Sweeping,,$51.50,$12.50,$64.00,,,$64.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.850,,30 Minute Parking Between 3-5 am,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.860,,Oversize Vehicles - 9pm - 6am ,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.870,,Oversize Commercial Vehicle in Residential Area,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.880,,Parking of Trailers,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.890,,Vehicle Parked for Advertising,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.910,,Wash Car - Street Alley,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.920,,Storing/Servicing/Rebuilding - Public Way,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.930,,Parking on Private Property w/o Permission,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.950,,Parking on Private Unpaved Lot,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.1000,,Vehicle Parked on Street for Sale,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.1010,,Unattended Vehicle - Keys in Ignition,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.12.1050,,Parked on Front Lawn,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.16.120,,Operating a Parking Meter,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.16.240,,O/T Meter Parking - Past Time Limits,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.16.241,,O/T Lot Parking - Past Time Limit,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.16.250,,Expired Meter,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,3.16.260,,Parking Beyond Meter Space,,$40.50,$12.50,$53.00,,,$53.00,Santa Monica Municipal Code Violations,
Civil Penalty for Parking Violation and Late Payment,,5200,,Failure to Display Both Plates,,$25.00,$0.00,$25.00,,,$25.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,5201,,Positioning of Plates,,$25.00,$0.00,$25.00,,,$25.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,5204,,No Current License Plate Tab,,$25.00,$0.00,$25.00,,,$25.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,21113A,,Illegally Parked on State Property,,$25.50,$12.50,$38.00,,,$25.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,21211B,,Parked in Bike Lane,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500a,,Parked in Any Intersection,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500b,,Parked in Any Crosswalk,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500c,,Parked in Any Safety Zone,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500d,,Parked Within 15 feet of Fire Station,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500e,,Parked in Front of Private/Public Driveway,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500f,,Parked on Sidewalk (except electric carts),,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500g,,Parked near Excavation Causing Hazard,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500h,,Double Parking,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500i,,Parked in Bus Zone,,$291.50,$12.50,$304.00,,,$30.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500k,,Parked on Any Bridge,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500I,,Stopping/Blocking Disabled Access Ramp,,$291.50,$12.50,$304.00,,,$30.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22500.1,,Parked in Fire Lane,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22502,,Curb Parking ,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22502a,,"Parked Within 18"" of Curb",,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22507.8a,,Parked in Handicapped Space w/o ID,,$386.50,$12.50,$399.00,,,$30.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22507.8b,,Blocking Disabled parking ,,$386.50,$12.50,$399.00,,,$30.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22507.8c,,Parked on/in Handicapped Access Area,,$386.50,$12.50,$399.00,,,$30.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22509,,Parked on Hill w/o Securing Vehicle,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22514,,Parked within 15 Feet of Fire Hydrant,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22515a,,"Vehicle w.o Driver, Engine Running",,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22515b,,Setting Brake/Lock Wheels on Highway,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22516,,Vehicle Locked w/o Means to Escape,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22520,,Parked on Freeway - Non-Emergency,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22520.5a,,Vending on or Near Freeways,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22521,,Parked Less than 7.5 Feet from RR Track,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22522,,parked Less than 3 Feet from Sidewalk Ramp,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,"22523a,b",,Abandon Vehicle on Highway,,$114.50,$12.50,$127.00,,,$30.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22526a,,Gridlock - In Intersection,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,22526b,,Gridlock - During Turn,,$40.50,$12.50,$53.00,,,$53.00,California Vehicle Code Violations,
Civil Penalty for Parking Violation and Late Payment,,,,Violation of Any Other Law Regulating the Parking or Standing of Vehicles,,$40.50,$12.50,$53.00,,,$53.00,Unlisted Provisions of the Law,
False Alarm Fine,,,,Police - Second and third responses within the same fiscal year,,,,$164.86,each,,,,
False Alarm Fine,,,,Fourth and subsequent responses within the same fiscal year,,,,$247.28,each,,,,
False Alarm Fine,,,,Fire* - Third and subsequent responses at the same location within the same fiscal year,,,,$526.28,each,,,* This fine is established for purposes of recovering costs associated with resources and services provided by the Santa Monica Fire Department in connection with responses to excessive false fire alarms.,
Library Fine,,,,"Overdue Adult Book, CD, Audio Book, Periodical  ",,,,$0.25,,,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,"Overdue Children's Book, CD, Audio Book, Periodical ",,,,$0.15,,,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,Overdue New Adult Book ,,,,$0.50,,,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,Overdue Adult or Children's Video or DVD ,,,,$1.00,,,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,Overdue Interlibrary Loan Material,,,,$1.00,,,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,Replacement of Damaged or Lost Item,,,,$7.50,,Plus cost of item,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,Processing of Damaged Item,,,,$7.50,,,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,Collection Agency Referral Fee,,,,$10.00,,,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,Maximum Late Fine for Adult Materials,,,,$10.00,,,,"Fines to be assessed per item, per day, holidays included.",
Library Fine,,,,Maximum Late Fine for Children's Books,,,,$5.00,,,,"Fines to be assessed per item, per day, holidays included.",
